"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 10- 09","4,378.34","4,458.29","4,464.13","4,377.28","552.97M","-2.02%"
"2014- 10- 08","4,468.59","4,385.70","4,473.73","4,355.34","595.04M","1.90%"
"2014- 10- 07","4,385.20","4,433.91","4,441.76","4,385.15","510.60M","-1.56%"
"2014- 10- 06","4,454.80","4,492.40","4,496.26","4,444.10","463.15M","-0.47%"
"2014- 10- 03","4,475.62","4,456.81","4,488.07","4,445.72","459.89M","1.03%"
"2014- 10- 02","4,430.19","4,421.25","4,441.95","4,367.74","512.30M","0.18%"
"2014- 10- 01","4,422.09","4,486.65","4,486.79","4,409.30","575.57M","-1.59%"
"2014- 09- 30","4,493.39","4,512.64","4,522.06","4,483.91","573.84M","-0.28%"
"2014- 09- 29","4,505.85","4,465.84","4,515.24","4,464.44","432.41M","-0.14%"
"2014- 09- 26","4,512.19","4,476.48","4,515.74","4,475.48","409.65M","1.02%"
"2014- 09- 25","4,466.75","4,540.82","4,546.93","4,466.64","490.17M","-1.94%"
"2014- 09- 24","4,555.22","4,514.92","4,557.27","4,500.13","430.45M","1.03%"
"2014- 09- 23","4,508.69","4,511.32","4,536.03","4,508.42","461.87M","-0.42%"
"2014- 09- 22","4,527.69","4,568.45","4,568.87","4,513.12","471.72M","-1.14%"
"2014- 09- 19","4,579.79","4,606.13","4,610.57","4,563.44","1.20B","-0.30%"
"2014- 09- 18","4,593.43","4,575.74","4,593.98","4,572.62","430.26M","0.68%"
"2014- 09- 17","4,562.19","4,553.96","4,582.40","4,539.36","441.01M","0.21%"
"2014- 09- 16","4,552.76","4,502.11","4,558.24","4,499.87","467.05M","0.75%"
"2014- 09- 15","4,518.90","4,567.45","4,567.47","4,506.73","463.55M","-1.07%"
"2014- 09- 12","4,567.60","4,588.77","4,590.08","4,555.68","440.81M","-0.53%"
"2014- 09- 11","4,591.81","4,567.64","4,591.81","4,559.75","407.26M","0.12%"
"2014- 09- 10","4,586.52","4,554.15","4,587.10","4,544.84","426.46M","0.75%"
"2014- 09- 09","4,552.28","4,588.83","4,599.03","4,544.44","455.94M","-0.87%"
"2014- 09- 08","4,592.28","4,579.06","4,600.40","4,570.23","412.63M","0.20%"
"2014- 09- 05","4,582.90","4,560.63","4,583.00","4,542.74","403.42M","0.45%"
"2014- 09- 04","4,562.29","4,581.52","4,603.15","4,553.31","411.00M","-0.22%"
"2014- 09- 03","4,572.56","4,610.14","4,610.14","4,565.38","456.17M","-0.56%"
"2014- 09- 02","4,598.19","4,592.42","4,598.64","4,576.81","445.94M","0.39%"
"2014- 08- 29","4,580.27","4,571.76","4,580.27","4,553.78","354.03M","0.50%"
